排名	排名变化	品牌	品牌价值（亿元人民币）	Chg	母公司	品牌价值占母公司市值比例	trade	city	
141	3	春秋航空	70	0.4	春秋航空	17%	航空	上海	
141	3	申通	70	0.4	申通	17%	快递	上海	
141	16	虎牙	70	0.56	虎牙	19%	影视传媒	广东广州	
141	-8	圆通	70	0.17	圆通	19%	快递	上海	
141	16	同程艺龙	70	0.56	同程艺龙	23%	生活服务	江苏苏州	
141	-13	东阿阿胶	70	0.08	东阿阿胶	26%	医疗健康	山东聊城	
141	3	VIPKID	70	0.4	VIPKID	23%	教育	北京	
155	-11	宁波银行	65	0.3	宁波银行	5%	金融	浙江宁波	
155	-27	北京银行	65	0	北京银行	5%	金融	北京	
155	-11	汉庭	65	0.3	华住	9%	酒店	上海	
155	-11	高德地图	65	0.3	阿里巴巴	0%	生活服务	北京	
159	-26	去哪儿	60	0	携程集团	4%	生活服务	北京	
159	-2	招商证券	60	0.33	招商证券	5%	金融	广东深圳	
159	9	金茂	60	0.5	金茂	12%	房地产	香港	
159	-2	微医	60	0.33	微医	15%	医疗健康	浙江杭州	
159	33	长城电脑	60	1	长城电脑	19%	数码	广东深圳	
159	-15	三九	60	0.2	三九	21%	医疗健康	广东深圳	
159	-15	张裕	60	0.2	张裕	27%	酒类	山东烟台	
159	33	海之蓝	60	1	洋河股份	4%	酒类	江苏宿迁	
167	-23	广发证券	55	0.1	广发证券	5%	金融	广东广州	
167	-27	EMS	55	0	EMS	15%	快递	北京	
167	-10	雅居乐	55	0.22	雅居乐	15%	房地产	广东广州	
167	-27	达达	55	0	达达	18%	快递	上海	
167	-10	王老吉	55	0.22	王老吉	23%	食品饮料	广东广州	
167	NEW	泸州老窖	55	-	泸州老窖	5%	酒类	四川泸州	
167	11	自如	55	0.57	自如	18%	生活服务	北京	
167	NEW	熊猫	55	-	上海烟草	1%	烟草	上海	
175	NEW	天味食品	50	-	天味食品	25%	食品饮料	四川成都	
175	17	水井坊	50	0.67	帝亚吉欧	1%	酒类	四川成都	
175	-7	生命人寿	50	0.25	生命人寿	5%	金融	广东深圳	
175	3	森马	50	0.43	森马	16%	服装	浙江温州	
